[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[1, 1, 0, 1]
[3, 2, 0, 1]
[3, 1, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[3, 2, 0, 1]
[9, 6, 0, 1]
[12, d, 0, 1]
[22, 1b, 3, 1]
[36, 28, 1, 1]
[3e, 30, 2, 1]
[2c, 21, 3, 1]
[14, e, 0, 1]
[4, 2, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[7, 4, 0, 1]
[11, c, 0, 1]
[1b, 13, 0, 1]
[1d, 17, 0, 1]
[16, 10, 0, 1]
[b, 7, 0, 1]
[3, 2, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[1, 0, 0, 1]
[5, 3, 0, 1]
[f, 9, 0, 1]
[1e, 17, 0, 1]
[34, 24, 0, 1]
[44, 30, 0, 1]
[45, 2e, 0, 1]
[49, 2e, 0, 1]
[43, 32, 0, 1]
[42, 30, 1, 1]
[3e, 28, 0, 1]
[41, 2a, 0, 1]
[44, 27, 0, 1]
[45, 2b, 0, 1]
[44, 2d, 2, 1]
[4a, 2e, 2, 1]
[4e, 32, 3, 1]
[58, 39, 2, 1]
[5f, 45, 6, 1]
[65, 4a, 10, 1]
[62, 4c, 18, 1]
[64, 4c, 11, 1]
[61, 46, 13, 1]
[53, 42, 11, 1]
[57, 3c, d, 1]
[53, 32, a, 1]
[4d, 36, 6, 1]
[4d, 31, 7, 1]
[48, 30, 6, 1]
[41, 2e, 8, 1]
[46, 2e, 5, 1]
[46, 2d, c, 1]
[47, 36, 8, 1]
[44, 36, 7, 1]
[4b, 32, d, 1]
[4f, 36, 4, 1]
[48, 30, 3, 1]
[49, 2e, 4, 1]
[45, 29, 0, 1]
[3b, 22, 2, 1]
[41, 26, 0, 1]
[46, 25, 1, 1]
[42, 24, 3, 1]
[3e, 22, 2, 1]
[38, 1d, 1, 1]
[3a, 1f, 0, 1]
[3c, 1f, 1, 1]
[41, 1d, 3, 1]
[41, 25, 4, 1]
[41, 24, 2, 1]
[4d, 2a, 2, 1]
[56, 2f, 3, 1]
[56, 2f, 3, 1]
[62, 38, 3, 1]
[69, 3d, 8, 1]
[6d, 42, 3, 1]
[6f, 48, 5, 1]
[74, 4d, c, 1]
[75, 4f, 13, 1]
[76, 52, 17, 1]
[77, 54, 12, 1]
[76, 4f, 10, 1]
[6e, 43, 13, 1]
[69, 3f, a, 1]
[62, 3a, 1, 1]
[51, 34, 6, 1]
[42, 2c, 9, 1]
[34, 24, 6, 1]
[29, 1c, 5, 1]
[26, 1b, 3, 1]
[25, 1c, 7, 1]
[26, 1e, 4, 1]
[26, 1d, 6, 1]
[25, 1d, 6, 1]
[25, 1c, 5, 1]
[23, 1b, 2, 1]
[23, 1a, 1, 1]
[26, 1c, 2, 1]
[2d, 23, 2, 1]
[3f, 2f, 1, 1]
[54, 49, 3, 1]
[69, 5b, 6, 1]
[8d, 73, 24, 1]
[bb, a7, 82, 1]
[cc, c1, a8, 1]
[b6, a3, 7e, 1]
[8c, 70, 33, 1]
[70, 49, 1b, 1]
[65, 3e, 19, 1]
[5d, 39, 1e, 1]
[5a, 36, 11, 1]
[55, 2f, 9, 1]
[54, 2d, 9, 1]
[4c, 2a, 7, 1]
[4c, 2d, 8, 1]
[50, 2b, d, 1]
[58, 2f, d, 1]
[63, 31, 10, 1]
[6d, 3b, d, 1]
[7d, 47, 16, 1]
[8a, 57, 19, 1]
[9b, 6d, 21, 1]
[ae, 7b, 23, 1]
[b2, 80, 2d, 1]
[ae, 7c, 25, 1]
[a1, 6b, 1b, 1]
[95, 64, 13, 1]
[94, 62, 15, 1]
[a0, 68, 19, 1]
[ae, 75, 23, 1]
[c0, 8a, 3b, 1]
[cf, 9d, 55, 1]
[d6, a4, 6c, 1]
[da, a5, 6f, 1]
[e2, b1, 85, 1]
[e9, c1, 9c, 1]
[f2, cf, b6, 1]
[fa, de, d2, 1]
[fd, eb, e2, 1]
[ff, ed, e5, 1]
[ff, f0, e7, 1]
[ff, f1, e6, 1]
[ff, f1, e8, 1]
[ff, f0, e6, 1]
[ff, f2, e3, 1]
